MVS0409.02L DateCode 03/26 SIGMA 100 Measurements per MVS #1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
87,130,880,204,260,0,1,1
88,105,871,204,243,0,0,0
89,50,874,204,257,0,1,1
90,70,899,204,290,0,0,0
91,154,884,204,268,0,1,1
92,103,925,204,253,0,0,0
93,98,925,204,258,0,0,0
94,89,898,204,255,0,1,1
95,135,867,204,249,0,1,1
96,78,861,204,266,0,1,1
97,99,897,204,259,0,1,1
98,118,861,204,256,0,1,1
99,82,870,204,247,0,0,0
100,79,872,204,252,0,0,0
MVS0409.02L DateCode 03/26 SIGMA 100 Measurements per MVS  #3
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,93,843,204,237,0,0,0
2,108,819,204,245,0,1,1
3,91,784,204,255,0,1,1
4,109,815,204,237,0,0,0
5,79,849,204,260,0,1,1
6,101,836,204,258,0,0,0
7,71,811,204,266,0,0,0
8,80,868,204,252,0,0,0
9,93,874,204,250,0,1,1
10,90,879,204,238,0,0,0
11,41,884,204,255,0,0,0
12,85,868,204,256,0,0,0
13,45,876,204,249,0,0,0
14,68,860,204,280,0,1,1
15,87,823,204,266,0,0,0
16,60,869,204,267,0,0,0
17,69,842,204,261,0,0,0
18,53,863,204,261,0,0,0
19,50,855,204,262,0,0,0
20,90,856,204,266,0,1,1
21,118,829,204,284,0,1,1
22,84,868,204,251,0,0,0
23,88,843,204,271,0,1,1
24,76,877,204,260,0,0,0
25,84,836,204,257,0,0,0
26,90,833,204,256,0,1,1
27,68,850,204,265,0,0,0
28,96,851,204,249,0,0,0
29,81,857,204,267,0,0,0
30,73,851,204,259,0,0,0
31,81,860,204,255,0,0,0
32,76,899,204,270,0,0,0
33,143,811,204,262,0,1,1
34,67,878,204,253,0,0,0
35,55,866,204,254,0,0,0
36,109,831,204,267,0,1,1
37,102,845,204,254,0,0,0
38,47,830,204,282,0,0,0
39,72,851,204,278,0,0,0
40,92,840,204,268,0,1,1
41,80,887,204,254,0,0,0
42,73,866,204,262,0,1,1
43,88,868,204,260,0,0,0
44,122,742,204,259,0,1,1
45,73,821,204,253,0,0,0
46,105,845,204,262,0,1,1
47,106,891,204,259,0,1,1
48,95,847,204,254,0,0,0
49,148,838,204,268,0,0,0
50,76,842,204,255,0,0,0
51,71,853,204,257,0,1,1
52,69,856,204,249,0,0,0
53,90,881,204,253,0,0,0
54,84,842,204,266,0,0,0
55,56,892,204,281,0,0,0
56,55,867,204,254,0,0,0
57,54,905,204,261,0,0,0
58,68,882,204,275,0,0,0
59,46,892,204,271,0,0,0
60,101,856,204,259,0,1,1
61,64,877,204,271,0,0,0
62,71,859,204,273,0,0,0
63,99,843,204,266,0,0,0
64,83,833,204,268,0,0,0
65,62,853,204,263,0,0,0
66,87,883,204,266,0,0,0
67,82,840,204,257,0,0,0
68,76,837,204,244,0,0,0
69,105,842,204,257,0,0,0
70,64,876,204,264,0,1,1
71,68,856,204,256,0,0,0
72,69,855,204,261,0,0,0
73,110,811,204,261,0,1,1
74,64,883,204,256,0,0,0
75,71,839,204,265,0,0,0
76,89,866,204,263,0,0,0
77,83,822,204,239,0,1,1
78,84,826,204,256,0,0,0
79,107,836,204,257,0,0,0
80,61,834,204,258,0,0,0
81,69,865,204,259,0,0,0
82,102,842,204,265,0,0,0
83,76,837,204,263,0,1,1
84,89,875,204,252,0,1,1
85,111,873,204,254,0,1,1
86,145,859,204,253,0,1,1
87,65,923,204,264,0,0,0
88,94,862,204,252,0,1,1
89,56,881,204,259,0,0,0
90,83,840,204,265,0,0,0
91,66,874,204,279,0,1,1
92,58,849,204,265,0,0,0
93,75,849,204,294,0,0,0
94,91,858,204,265,0,1,1
95,97,856,204,262,0,0,0
96,56,855,204,265,0,0,0
97,58,859,204,263,0,0,0
98,91,860,204,263,0,0,0
99,98,820,204,262,0,0,0
100,115,834,204,268,0,0,0
MVS0409.02L DateCode 03/26 SIGMA 100 Measurements per MVS  #4
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,66,894,204,267,0,0,0
2,60,919,204,275,0,0,0
3,161,922,204,254,0,1,1
4,75,910,204,248,0,0,0
5,58,936,204,273,0,0,0
6,121,920,204,265,0,0,0
7,77,906,204,267,0,1,1
8,64,915,204,217,1,1,1
9,150,895,204,264,0,1,1
10,106,925,204,251,0,0,0
11,59,921,204,264,0,0,0
12,75,890,204,280,0,1,1
13,128,894,204,257,0,1,1
14,147,893,204,259,0,1,1
15,64,913,204,255,0,1,1
16,66,921,204,257,0,0,0
17,169,847,204,260,0,1,1
18,101,894,204,252,0,0,0
19,79,888,204,268,0,0,0
20,74,926,204,262,0,0,0
21,135,909,204,253,0,1,1
22,137,913,204,265,0,1,1
23,113,914,204,268,0,1,1
24,131,905,204,270,0,1,1
25,105,886,204,245,0,0,0
26,83,952,204,266,0,1,1
27,72,918,204,280,0,1,1
28,140,923,204,273,0,1,1
29,88,946,204,263,0,0,0
30,141,912,204,248,0,1,1
31,80,934,204,253,0,0,0
32,87,940,204,267,0,0,0
33,70,944,204,265,0,1,1
34,88,929,204,258,0,1,1
35,94,939,204,257,0,0,0
36,90,923,204,270,0,1,1
37,79,926,204,273,0,0,0
38,137,920,204,266,0,1,1
39,99,921,204,263,0,0,0
40,152,900,204,285,0,1,1
41,153,906,204,244,0,1,1
42,72,914,204,261,0,0,0
43,131,910,204,269,0,1,1
44,65,945,204,263,0,1,1
45,96,914,204,239,0,0,0
46,67,896,204,296,0,1,1
47,75,918,204,262,0,1,1
48,288,927,204,205,1,1,1
49,66,916,204,271,0,1,1
50,221,814,204,250,0,1,1
51,239,853,204,268,0,1,1
52,117,923,204,267,0,0,0
53,102,928,204,283,0,0,0
54,82,936,204,269,0,0,0
55,107,932,204,278,1,1,1
56,56,933,204,274,0,0,0
57,117,920,204,293,0,0,0
58,51,927,204,280,0,0,0
59,56,918,204,271,0,0,0
60,54,900,204,265,0,0,0
61,125,890,204,257,0,1,1
62,90,923,204,270,0,1,1
63,78,908,204,269,0,1,1
64,80,920,204,271,0,1,1
65,79,916,204,259,0,1,1
66,150,813,204,274,0,1,1
67,122,912,204,267,0,1,1
68,103,907,204,263,0,1,1
