MVS0924.02 | 100 Measurements per MVS #1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
89,133,884,204,265,0,0,0
90,133,919,204,273,0,0,0
91,142,891,204,282,0,0,0
92,126,902,204,284,0,0,0
93,135,926,204,285,0,0,0
94,122,925,204,283,0,0,0
95,134,880,204,246,0,0,0
96,138,896,204,257,0,0,0
97,127,871,204,272,0,0,0
98,117,915,204,284,0,0,0
99,101,928,204,287,0,1,1
100,118,936,204,255,0,0,0
MVS0924.02 | 100 Measurements per MVS  #3
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,65,739,204,240,0,0,0
2,58,747,204,256,0,0,0
3,51,726,204,248,0,0,0
4,56,723,204,267,0,0,0
5,77,776,204,259,0,0,0
6,69,741,204,242,0,0,0
7,61,755,204,271,0,0,0
8,52,732,204,250,0,0,0
9,48,745,204,262,0,0,0
10,65,697,204,264,0,1,1
11,54,707,204,252,0,0,0
12,56,799,204,281,0,0,0
13,79,764,204,245,0,0,0
14,44,700,204,258,0,0,0
15,42,733,204,238,0,0,0
16,43,726,204,250,0,0,0
17,98,768,204,247,0,0,0
18,74,725,204,258,0,0,0
19,66,777,204,247,0,1,1
20,109,720,204,257,0,0,0
21,79,667,204,256,0,0,0
22,42,683,204,256,0,0,0
23,53,752,204,245,0,0,0
24,56,718,204,270,0,0,0
25,84,792,204,260,0,0,0
26,133,794,204,263,0,0,0
27,83,735,204,275,0,0,0
28,56,733,204,251,0,0,0
29,56,744,204,247,0,0,0
30,53,754,204,266,0,0,0
31,73,729,204,244,0,0,0
32,43,698,204,250,0,0,0
33,30,690,204,256,0,1,1
34,34,657,204,248,0,0,0
35,67,724,204,259,0,0,0
36,56,729,204,251,0,0,0
37,63,744,204,245,0,0,0
38,61,775,204,249,0,0,0
39,43,713,204,258,0,0,0
40,89,705,204,252,0,0,0
41,61,743,204,265,0,0,0
42,46,711,204,260,0,0,0
43,51,745,204,261,0,0,0
44,67,787,204,240,0,0,0
45,88,787,204,252,0,0,0
46,51,757,204,256,0,1,1
47,54,737,204,257,0,0,0
48,62,763,204,251,0,0,0
49,53,799,204,266,0,0,0
50,51,782,204,258,0,0,0
51,68,796,204,255,0,0,0
52,41,722,204,259,0,0,0
53,76,708,204,254,0,0,0
54,29,711,204,262,0,0,0
55,43,682,204,263,0,0,0
56,145,711,204,265,0,1,1
57,58,699,204,270,0,0,0
58,81,689,204,258,0,0,0
59,80,691,204,255,0,0,0
60,64,717,204,256,0,0,0
61,118,703,204,261,0,1,1
62,27,711,204,256,0,0,0
63,72,723,204,271,0,0,0
64,78,775,204,257,0,0,0
65,50,739,204,265,0,0,0
66,52,717,204,239,0,0,0
67,55,714,204,251,0,0,0
68,70,752,204,235,0,0,0
69,69,765,204,256,0,0,0
70,36,757,204,251,0,0,0
71,68,739,204,247,0,0,0
72,46,734,204,242,0,0,0
73,34,767,204,266,0,0,0
74,62,734,204,268,0,0,0
75,52,733,204,264,0,0,0
76,28,665,204,261,0,0,0
77,76,759,204,250,0,1,1
78,70,629,204,257,0,1,1
79,37,750,204,246,0,0,0
80,87,726,204,263,0,0,0
81,80,756,204,254,0,0,0
82,55,750,204,271,0,0,0
83,66,728,204,249,0,0,0
84,34,733,204,259,0,1,1
85,55,756,204,256,0,0,0
86,103,749,204,260,0,1,1
87,88,736,204,244,0,0,0
88,96,724,204,246,0,1,1
89,53,728,204,254,0,0,0
90,37,686,204,258,0,0,0
91,55,715,204,249,0,0,0
92,62,719,204,247,0,0,0
93,102,726,204,258,0,0,0
94,59,749,204,252,0,0,0
95,71,742,204,266,0,1,1
96,79,737,204,259,0,0,0
97,54,689,204,248,0,0,0
98,64,694,204,257,0,0,0
99,70,728,204,256,0,1,1
100,91,760,204,254,0,1,1
MVS0924.02 | 100 Measurements per MVS  #4
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,66,737,204,268,0,0,0
2,78,794,204,257,0,0,0
3,145,871,204,256,0,0,0
4,114,892,204,267,0,0,0
5,176,873,204,266,0,0,0
6,151,892,204,273,0,0,0
7,165,925,204,248,0,0,0
8,196,922,204,249,0,0,0
9,69,759,204,266,0,0,0
10,82,762,204,283,0,0,0
11,49,740,204,256,0,0,0
12,97,762,204,254,0,0,0
13,95,776,204,271,0,0,0
14,37,765,204,274,0,0,0
15,88,796,204,280,0,1,1
16,109,836,204,276,0,0,0
17,87,725,204,261,0,1,1
18,63,735,204,248,0,0,0
19,123,793,204,267,0,0,0
20,118,685,204,267,0,0,0
21,55,696,204,264,0,0,0
22,42,747,204,270,0,1,1
23,52,727,204,261,0,0,0
24,86,730,204,256,0,0,0
25,92,803,204,244,0,1,1
26,120,807,204,259,0,0,0
27,101,787,204,258,0,0,0
28,84,842,204,267,0,0,0
29,118,806,204,252,0,0,0
30,63,723,204,257,0,0,0
31,59,747,204,261,0,0,0
32,57,797,204,255,0,0,0
33,49,741,204,279,0,0,0
34,56,701,204,256,0,0,0
35,35,707,204,260,0,0,0
36,53,702,204,267,0,0,0
37,59,777,204,260,0,0,0
38,102,882,204,259,0,0,0
39,118,847,204,261,0,0,0
40,148,873,204,269,0,0,0
41,113,818,204,268,0,0,0
42,44,707,204,266,0,0,0
43,24,726,204,252,0,0,0
44,42,734,204,256,0,0,0
45,71,841,204,268,0,0,0
46,128,784,204,259,0,1,1
47,81,795,204,273,0,0,0
48,91,827,204,273,0,0,0
49,132,806,204,265,0,0,0
50,52,756,204,268,0,0,0
51,66,777,204,268,0,0,0
52,40,757,204,263,0,0,0
53,51,768,204,266,0,0,0
54,123,772,204,267,0,0,0
55,96,791,204,255,0,0,0
56,62,751,204,259,0,0,0
57,57,777,204,257,0,0,0
58,82,729,204,267,0,0,0
59,50,731,204,253,0,0,0
60,51,806,204,257,0,0,0
61,97,792,204,256,0,0,0
62,110,788,204,266,0,0,0
63,86,817,204,268,0,0,0
64,102,793,204,254,0,0,0
65,70,764,204,282,0,0,0
66,74,806,204,265,0,0,0
67,107,836,204,265,0,0,0
68,71,801,204,242,0,0,0
69,49,768,204,259,0,0,0
70,92,764,204,265,0,0,0
71,73,792,204,267,0,0,0
72,101,781,204,258,0,0,0
73,54,791,204,260,0,0,0
74,93,740,204,256,0,0,0
75,89,798,204,253,0,1,1
76,89,794,204,256,0,0,0
77,69,814,204,249,0,0,0
78,147,846,204,246,0,0,0
79,125,827,204,269,0,0,0
80,108,785,204,268,0,1,1
81,78,797,204,258,0,0,0
82,100,744,204,262,0,1,1
83,67,760,204,272,0,0,0
84,79,772,204,256,0,0,0
85,51,821,204,266,0,0,0
86,92,827,204,286,0,0,0
87,84,749,204,264,0,0,0
88,66,791,204,257,0,0,0
89,86,769,204,270,0,0,0
90,74,766,204,252,0,0,0
91,112,792,204,261,0,0,0
92,62,799,204,278,0,0,0
93,74,843,204,256,0,0,0
94,111,758,204,253,0,0,0
95,92,744,204,259,0,0,0
96,29,721,204,267,0,0,0
97,72,761,204,254,0,0,0
98,73,767,204,258,0,0,0
99,98,786,204,252,0,0,0
100,48,808,204,242,0,0,0
MVS0924.02 | 100 Measurements per MVS  #5
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,66,761,204,293,0,0,0
2,43,754,204,263,0,0,0
3,58,807,204,255,0,0,0
4,123,757,204,256,0,0,0
5,74,869,204,256,0,0,0
6,130,671,204,272,0,1,1
7,97,882,204,270,0,0,0
8,61,798,204,260,0,0,0
9,61,802,204,267,0,0,0
10,72,801,204,287,0,0,0
11,67,752,204,276,0,0,0
12,57,795,204,255,0,0,0
13,105,828,204,277,0,0,0
14,108,776,204,269,0,0,0
15,100,816,204,260,0,0,0
16,85,759,204,262,0,0,0
17,90,761,204,260,0,1,1
18,82,742,204,253,0,0,0
19,81,778,204,264,0,0,0
20,135,815,204,259,0,0,0
21,85,807,204,278,0,0,0
22,145,822,204,254,0,0,0
23,130,796,204,263,0,0,0
24,68,752,204,264,0,0,0
25,73,793,204,253,0,0,0
26,112,836,204,279,0,0,0
27,97,825,204,270,0,0,0
28,86,802,204,255,0,0,0
29,84,747,204,264,0,0,0
30,90,748,204,251,0,0,0
31,114,744,204,250,0,0,0
32,93,810,204,260,0,0,0
33,85,848,204,275,0,0,0
34,136,906,204,261,0,0,0
35,82,816,204,262,0,0,0
36,113,783,204,278,0,0,0
37,91,762,204,250,0,0,0
38,90,739,204,265,0,0,0
39,101,761,204,253,0,0,0
40,48,841,204,275,0,0,0
41,85,835,204,286,0,0,0
42,152,799,204,254,0,0,0
43,120,854,204,267,0,0,0
44,86,836,204,262,0,0,0
45,98,740,204,260,0,0,0
46,86,744,204,257,0,0,0
47,115,787,204,267,0,0,0
48,52,744,204,252,0,0,0
49,77,705,204,261,0,0,0
50,59,734,204,251,0,0,0
51,60,743,204,245,0,0,0
52,60,810,204,266,0,0,0
53,68,702,204,257,0,1,1
54,122,796,204,259,0,0,0
55,117,826,204,256,0,0,0
56,130,815,204,279,0,0,0
57,100,759,204,255,0,0,0
58,98,742,204,246,0,0,0
59,44,794,204,274,0,0,0
60,79,783,204,252,0,0,0
61,53,849,204,283,0,0,0
62,120,818,204,286,0,0,0
63,117,781,204,261,0,0,0
64,85,773,204,265,0,0,0
65,62,781,204,250,0,0,0
66,103,768,204,263,0,0,0
67,116,810,204,243,0,0,0
68,106,809,204,252,0,0,0
69,110,819,204,267,0,0,0
70,87,818,204,286,0,0,0
71,91,755,204,263,0,0,0
72,106,740,204,275,0,0,0
73,108,779,204,240,0,0,0
74,84,756,204,258,0,0,0
75,140,804,204,268,0,0,0
76,146,831,204,274,0,0,0
77,87,763,204,256,0,0,0
78,100,725,204,261,0,0,0
79,77,812,204,272,0,0,0
80,171,464,204,268,0,1,1
81,98,759,204,259,0,0,0
82,123,875,204,273,0,0,0
83,109,760,204,256,0,0,0
84,96,728,204,265,0,0,0
85,78,718,204,250,0,0,0
86,97,751,204,275,0,0,0
87,102,813,204,269,0,0,0
88,73,797,204,264,0,0,0
89,96,804,204,262,0,0,0
90,185,790,204,250,0,0,0
91,107,831,204,244,0,0,0
92,98,897,204,282,0,0,0
93,135,858,204,256,0,0,0
94,82,747,204,261,0,0,0
95,81,732,204,257,0,0,0
96,141,745,204,256,0,0,0
97,124,770,204,252,0,0,0
98,94,853,204,259,0,0,0
99,73,812,204,253,0,0,0
100,107,785,204,279,0,0,0
MVS0924.02 | 100 Measurements per MVS  #6
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,59,782,204,260,0,0,0
2,52,737,204,268,0,0,0
3,80,762,204,266,0,0,0
4,59,835,204,264,0,0,0
5,114,848,204,262,0,0,0
6,77,752,204,264,0,0,0
7,67,723,204,259,0,0,0
8,65,755,204,262,0,1,1
9,130,779,204,257,0,0,0
10,89,751,204,248,0,0,0
11,109,806,204,247,0,0,0
12,78,805,204,258,0,0,0
13,116,815,204,259,0,0,0
14,128,858,204,270,0,0,0
15,106,812,204,263,0,0,0
16,92,779,204,262,0,0,0
17,69,764,204,252,0,0,0
18,69,793,204,259,0,0,0
19,86,781,204,253,0,0,0
20,119,825,204,257,0,0,0
21,166,912,204,281,0,0,0
22,155,885,204,269,0,0,0
23,92,766,204,257,0,0,0
24,76,780,204,251,0,0,0
25,93,782,204,255,0,0,0
26,96,837,204,279,0,0,0
27,162,827,204,250,0,0,0
28,185,838,204,264,0,0,0
29,97,789,204,269,0,0,0
30,90,781,204,259,0,0,0
31,100,796,204,263,0,0,0
32,163,789,204,264,0,1,1
33,102,811,204,259,0,0,0
34,78,795,204,255,0,0,0
35,76,779,204,267,0,0,0
36,74,799,204,247,0,1,1
37,130,807,204,261,0,0,0
38,134,813,204,254,0,1,1
39,116,823,204,252,0,0,0
40,160,807,204,256,0,0,0
41,63,768,204,255,0,0,0
42,93,795,204,254,0,0,0
43,116,835,204,262,0,0,0
44,171,859,204,256,0,0,0
45,118,794,204,252,0,1,1
46,119,782,204,259,0,0,0
47,53,741,204,254,0,0,0
48,61,778,204,273,0,0,0
49,62,759,204,256,0,0,0
50,82,774,204,266,0,0,0
51,103,792,204,257,0,0,0
52,109,791,204,257,0,1,1
53,101,753,204,258,0,1,1
54,83,788,204,255,0,0,0
55,93,799,204,254,0,0,0
56,144,818,204,264,0,0,0
57,132,786,204,261,0,0,0
58,86,784,204,254,0,0,0
59,101,813,204,251,0,0,0
60,150,816,204,237,0,0,0
61,128,831,204,260,0,1,1
62,105,855,204,241,0,0,0
63,127,811,204,273,0,0,0
64,141,797,204,253,0,0,0
65,147,864,204,259,0,0,0
66,248,891,204,262,0,0,0
67,183,799,204,265,0,0,0
68,95,822,204,269,0,0,0
69,119,873,204,258,0,0,0
70,160,825,204,273,0,0,0
71,29,729,204,267,0,0,0
72,92,758,204,249,0,1,1
73,121,818,204,259,0,0,0
74,134,804,204,283,0,0,0
75,172,873,204,261,0,0,0
76,164,878,204,269,0,0,0
77,199,873,204,268,0,1,1
78,115,803,204,268,0,1,1
79,199,842,204,254,0,1,1
80,99,765,204,255,0,0,0
81,96,759,204,258,0,0,0
82,168,808,204,251,0,0,0
83,241,918,204,252,0,0,0
84,134,807,204,258,0,1,1
85,111,768,204,260,0,0,0
86,77,761,204,244,0,0,0
87,52,729,204,250,0,0,0
88,51,755,204,264,0,1,1
89,90,808,204,259,0,1,1
90,116,802,204,254,0,0,0
91,124,804,204,255,0,0,0
92,68,793,204,264,0,0,0
93,93,785,204,251,0,0,0
94,65,763,204,258,0,0,0
95,62,755,204,259,0,0,0
96,69,832,204,257,0,0,0
97,141,855,204,250,0,0,0
98,126,824,204,278,0,0,0
99,126,805,204,263,0,0,0
100,101,756,204,259,0,0,0
MVS0924.02 | 100 Measurements per MVS  #7
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,67,768,204,265,0,0,0
2,101,813,204,249,0,0,0
3,111,788,204,252,0,1,1
4,59,766,204,251,0,0,0
5,128,729,204,253,0,1,1
6,145,785,204,248,0,1,1
7,145,845,204,264,0,1,1
8,83,759,204,261,0,0,0
9,79,757,204,253,0,0,0
10,65,789,204,263,0,0,0
11,72,771,204,260,0,0,0
12,61,802,204,260,0,0,0
13,77,790,204,271,0,0,0
14,141,754,204,256,0,0,0
15,70,797,204,241,0,0,0
16,38,758,204,261,0,0,0
17,98,791,204,250,0,1,1
18,99,751,204,260,0,0,0
19,60,761,204,257,0,0,0
20,65,779,204,294,0,0,0
21,67,802,204,253,0,0,0
22,71,815,204,270,0,0,0
23,148,773,204,282,0,0,0
24,47,767,204,271,0,0,0
25,77,781,204,272,0,0,0
26,108,803,204,250,0,0,0
27,113,797,204,266,0,1,1
28,89,729,204,252,0,0,0
29,92,771,204,266,0,0,0
30,51,781,204,251,0,0,0
31,63,823,204,258,0,0,0
32,80,768,204,265,0,0,0
33,63,750,204,261,0,0,0
34,94,799,204,254,0,0,0
35,120,788,204,275,0,1,1
