MVS0409.02L SIGMA 100 Measurements per MVS | MVS Nr.: 8
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,41,667,203,249,0,1,1
2,28,642,203,234,0,0,0
3,28,508,203,250,0,1,1
4,29,639,203,255,0,0,0
5,16,668,203,249,0,0,0
6,43,743,203,254,0,0,0
7,18,251,203,241,0,1,1
8,25,8,203,203,1,1,1
9,27,428,203,203,1,0,1
10,36,737,203,247,0,0,0
11,42,722,203,253,0,0,0
12,30,696,203,255,0,0,0
13,33,682,203,252,0,1,1
14,35,648,203,250,0,0,0
15,11,256,203,256,0,1,1
16,23,3,203,203,1,1,1
17,44,387,203,203,1,0,1
18,22,689,203,255,0,0,0
19,20,625,203,252,0,0,0
20,22,654,203,244,0,0,0
21,38,660,203,250,0,0,0
22,35,697,203,248,0,1,1
23,22,708,203,260,0,0,0
24,37,618,203,249,0,0,0
25,21,687,203,247,0,0,0
26,40,642,203,249,0,0,0
27,48,616,203,258,0,0,0
28,46,688,203,264,0,1,1
29,42,612,203,247,0,1,1
30,31,678,203,239,0,0,0
31,45,647,203,233,0,1,1
32,61,634,203,234,0,1,1
33,27,690,203,231,0,0,0
34,47,662,203,247,0,1,1
35,65,732,203,236,0,1,1
36,69,657,203,250,0,1,1
37,40,715,203,251,0,0,0
38,54,319,203,248,0,1,1
39,49,372,203,203,1,0,1
40,57,728,203,260,0,0,0
41,57,721,203,264,0,1,1
42,57,724,203,247,0,0,0
43,35,705,203,258,0,0,0
44,47,722,203,240,0,0,0
45,74,670,203,251,0,0,0
46,22,722,203,256,0,0,0
47,26,743,203,254,0,1,1
48,43,688,203,251,0,1,1
49,22,697,203,256,0,0,0
50,36,676,203,247,0,0,0
51,39,633,203,249,0,1,1
52,18,704,203,239,0,0,0
53,16,694,203,274,0,0,0
54,45,480,203,248,0,1,1
55,34,583,203,245,0,1,1
56,32,554,203,251,0,1,1
57,38,645,203,245,0,0,0
58,37,623,203,249,0,0,0
59,28,663,203,244,0,0,0
60,18,664,203,257,0,0,0
61,31,580,203,245,0,1,1
62,20,641,203,255,0,0,0
63,25,670,203,246,0,0,0
64,43,632,203,254,0,0,0
65,21,685,203,266,0,0,0
66,20,607,203,248,0,0,0
67,21,672,203,250,0,0,0
68,42,626,203,243,0,0,0
69,32,702,203,254,0,1,1
70,26,663,203,251,0,0,0
71,34,609,203,249,0,0,0
72,31,636,203,245,0,0,0
73,34,278,203,241,0,1,1
74,25,430,203,203,1,0,1
75,51,610,203,246,0,1,1
76,22,648,203,243,0,0,0
77,41,565,203,242,0,0,0
78,35,646,203,251,0,0,0
79,40,686,203,239,0,0,0
80,35,691,203,256,0,0,0
81,46,671,203,248,0,0,0
82,72,514,203,243,0,1,1
83,37,679,203,253,1,1,1
84,33,724,203,254,0,0,0
85,44,600,203,248,0,1,1
86,24,670,203,250,0,1,1
87,45,652,203,250,0,0,0
88,28,729,203,263,0,0,0
89,50,733,203,252,0,1,1
90,71,679,203,244,0,1,1
91,57,673,203,244,0,1,1
92,25,710,203,246,0,0,0
93,54,666,203,257,0,1,1
94,41,704,203,258,0,0,0
95,47,731,203,242,0,0,0
96,50,703,203,250,0,1,1
97,45,753,203,246,0,0,0
98,77,739,203,250,0,1,1
99,57,754,203,241,0,0,0
100,43,754,203,254,0,0,0
MVS0409.02L SIGMA 100 Measurements per MVS | MVS Nr.: 9
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,69,707,203,242,0,1,1
2,23,547,203,246,0,0,0
3,47,596,203,242,0,0,0
4,28,589,203,260,0,0,0
5,24,621,203,247,0,0,0
6,44,654,203,251,0,0,0
7,27,612,203,254,0,0,0
8,48,319,203,242,0,1,1
9,51,398,203,203,1,1,1
10,24,637,203,254,0,0,0
11,42,708,203,238,0,1,1
12,60,643,203,255,0,1,1
13,30,632,203,246,0,0,0
14,57,690,203,242,0,0,0
15,33,642,203,244,0,0,0
16,23,642,203,240,0,0,0
17,26,656,203,242,0,0,0
18,40,652,203,242,0,0,0
19,61,652,203,246,0,0,0
20,35,621,203,242,0,0,0
21,56,673,203,246,0,1,1
22,60,733,203,252,0,0,0
23,82,677,203,243,0,1,1
24,76,694,203,252,0,1,1
25,61,683,203,240,0,1,1
26,45,658,203,245,0,0,0
27,50,637,203,256,0,1,1
28,97,716,203,251,0,1,1
29,54,693,203,256,0,0,0
30,66,695,203,257,0,1,1
31,63,640,203,260,0,0,0
32,66,659,203,256,0,1,1
33,55,679,203,251,0,0,0
34,52,668,203,249,0,0,0
35,52,636,203,235,0,1,1
36,33,612,203,240,0,0,0
37,40,542,203,253,0,1,1
38,22,467,203,251,0,1,1
39,45,673,203,241,0,1,1
40,69,620,203,246,0,0,0
41,40,640,203,250,0,0,0
42,57,658,203,238,0,1,1
43,53,656,203,237,0,0,0
44,42,691,203,243,0,0,0
45,33,692,203,251,0,1,1
46,35,716,203,249,1,0,1
47,82,660,203,253,0,1,1
48,76,727,203,257,0,1,1
49,44,711,203,232,0,1,1
50,49,586,203,248,0,1,1
51,60,673,203,244,0,1,1
52,37,542,203,241,0,0,0
53,22,628,203,244,0,0,0
54,28,262,203,258,0,1,1
55,47,402,203,203,1,0,1
56,49,323,203,247,1,1,1
57,33,386,203,203,1,0,1
58,51,715,203,239,0,0,0
59,61,591,203,232,0,1,1
60,42,632,203,246,0,0,0
61,33,649,203,266,0,0,0
62,31,666,203,245,0,0,0
63,57,674,203,247,0,1,1
64,41,689,203,244,0,0,0
65,42,659,203,249,0,1,1
66,37,664,203,269,0,0,0
67,63,658,203,249,0,1,1
68,27,652,203,245,0,0,0
69,40,746,203,248,0,0,0
70,56,685,203,248,0,1,1
71,48,631,203,244,0,0,0
72,27,769,203,255,0,0,0
73,32,712,203,260,0,0,0
74,43,633,203,248,0,0,0
75,48,687,203,255,0,0,0
76,41,621,203,249,0,0,0
77,48,606,203,245,0,0,0
78,60,628,203,248,0,0,0
79,38,573,203,237,0,0,0
80,33,576,203,247,0,0,0
81,41,661,203,247,0,1,1
82,49,691,203,247,0,0,0
83,57,535,203,246,0,1,1
84,25,598,203,259,0,0,0
85,38,643,203,255,0,0,0
86,26,261,203,252,0,1,1
