MVS0724.02 | 100 Measurements per MVS #1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
89,94,813,204,256,0,0,0
90,92,865,204,245,0,1,1
91,102,861,204,274,0,0,0
92,129,884,204,253,0,1,1
93,143,894,204,251,0,0,0
94,148,877,204,255,0,0,0
95,132,869,204,244,0,0,0
96,108,860,204,248,0,0,0
97,147,853,204,251,0,1,1
98,130,859,204,255,0,0,0
99,147,774,204,243,0,1,1
100,187,821,204,257,0,1,1
MVS0724.02 | 100 Measurements per MVS  #3
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,53,727,204,244,0,0,0
2,59,780,204,253,0,0,0
3,28,779,204,259,0,0,0
4,41,741,204,252,0,0,0
5,51,750,204,250,0,0,0
6,60,622,204,247,0,1,1
7,71,749,204,249,0,1,1
8,57,667,204,247,0,1,1
9,65,725,204,245,0,1,1
10,64,731,204,247,0,1,1
11,33,714,204,253,0,0,0
12,45,733,204,242,0,1,1
13,31,705,204,249,0,1,1
14,65,688,204,238,0,0,0
15,57,664,204,245,0,1,1
16,62,656,204,250,0,1,1
17,41,767,204,239,0,0,0
18,88,680,204,254,0,0,0
19,54,748,204,248,0,0,0
20,66,718,204,249,0,1,1
21,51,765,204,263,0,1,1
22,50,731,204,243,0,0,0
23,103,512,204,246,0,1,1
24,30,681,204,244,0,0,0
25,64,688,204,254,0,1,1
26,39,713,204,251,0,1,1
27,48,726,204,254,0,0,0
28,33,774,204,258,0,0,0
29,59,771,204,252,0,0,0
30,58,724,204,247,0,0,0
31,59,734,204,243,0,0,0
32,63,398,204,247,0,1,1
33,34,529,204,204,1,1,1
34,47,768,204,265,0,0,0
35,69,694,204,249,0,1,1
36,44,711,204,248,0,0,0
37,39,707,204,249,0,0,0
38,64,705,204,252,0,0,0
39,50,743,204,248,0,0,0
40,80,748,204,247,0,1,1
41,60,786,204,257,0,0,0
42,46,730,204,257,0,0,0
43,63,757,204,251,0,0,0
44,84,709,204,243,0,1,1
45,81,729,204,251,0,0,0
46,65,745,204,254,0,0,0
47,41,774,204,262,0,0,0
48,59,771,204,251,0,0,0
49,104,744,204,250,0,1,1
50,81,768,204,261,0,0,0
51,97,743,204,250,0,1,1
52,83,710,204,266,0,1,1
53,73,711,204,243,0,1,1
54,46,647,204,244,0,1,1
55,40,766,204,244,0,0,0
56,57,691,204,242,0,1,1
57,60,696,204,247,0,1,1
58,53,743,204,237,0,0,0
59,55,731,204,236,0,1,1
60,61,739,204,254,0,1,1
61,69,716,204,246,0,1,1
62,30,708,204,240,0,0,0
63,82,735,204,247,0,1,1
64,76,752,204,246,0,1,1
65,74,754,204,250,0,0,0
66,85,759,204,253,0,1,1
67,65,699,204,249,0,1,1
68,48,700,204,246,0,0,0
69,37,707,204,234,0,0,0
70,23,697,204,258,0,0,0
71,37,685,204,254,0,1,1
72,64,739,204,253,0,0,0
73,26,721,204,254,0,0,0
74,53,709,204,245,0,1,1
75,45,692,204,253,0,1,1
76,62,730,204,248,0,1,1
77,76,772,204,252,0,1,1
78,67,750,204,246,0,1,1
79,48,331,204,238,0,1,1
80,29,725,204,240,0,0,0
81,131,722,204,249,0,1,1
82,28,766,204,244,0,0,0
83,66,734,204,256,0,1,1
84,60,760,204,254,0,0,0
85,92,724,204,255,0,0,0
86,32,721,204,251,0,0,0
87,160,744,204,252,0,1,1
88,32,724,204,252,0,0,0
89,59,743,204,251,0,0,0
90,44,767,204,251,0,0,0
91,25,754,204,253,0,0,0
92,41,776,204,252,0,0,0
93,63,752,204,247,0,1,1
94,37,781,204,244,0,1,1
95,47,708,204,248,0,0,0
96,50,740,204,244,0,0,0
97,73,746,204,262,0,0,0
98,36,785,204,249,0,0,0
99,66,732,204,253,0,1,1
100,82,731,204,246,0,0,0
MVS0724.02 | 100 Measurements per MVS  #4
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,148,880,204,254,0,0,0
2,156,888,204,266,0,0,0
3,127,867,204,251,0,0,0
4,150,869,204,245,0,1,1
5,113,920,204,257,0,0,0
6,129,921,204,260,0,0,0
7,145,867,204,247,0,0,0
8,171,870,204,265,0,0,0
9,210,875,204,252,0,1,1
10,153,899,204,241,0,1,1
11,128,919,204,255,0,0,0
