MVS0409.02L SIGMA 100 Measurements per MVS | MVS Nr.: 1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
88,109,931,203,256,0,0,0
89,76,915,203,277,0,0,0
90,85,865,203,254,0,0,0
91,98,890,203,259,0,0,0
92,78,865,203,250,0,0,0
93,60,795,203,246,0,0,0
94,79,850,203,252,0,0,0
95,86,854,203,255,0,0,0
96,98,836,203,247,0,0,0
97,64,855,203,252,0,0,0
98,57,818,203,261,0,0,0
99,63,817,203,254,0,0,0
100,71,828,203,254,0,0,0
MVS0409.02L SIGMA 100 Measurements per MVS | MVS Nr.: 3
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,67,788,203,262,0,0,0
2,67,808,203,264,0,0,0
3,62,767,203,252,0,0,0
4,43,807,203,262,0,1,1
5,70,806,203,264,0,0,0
6,84,785,203,248,0,0,0
7,57,790,203,251,0,0,0
8,82,773,203,255,0,0,0
9,68,795,203,239,0,1,1
10,66,818,203,246,0,0,0
11,88,793,203,248,0,0,0
12,67,794,203,264,0,0,0
13,82,779,203,246,0,0,0
14,60,803,203,264,0,0,0
15,89,821,203,259,0,0,0
16,70,770,203,258,0,0,0
17,59,817,203,262,0,0,0
18,76,768,203,257,0,0,0
19,85,819,203,250,0,0,0
20,71,753,203,266,0,0,0
21,74,771,203,250,0,0,0
22,77,799,203,275,0,0,0
23,63,789,203,255,0,0,0
24,74,804,203,247,0,0,0
25,91,799,203,243,0,0,0
26,102,842,203,250,0,0,0
27,72,841,203,273,0,0,0
28,106,863,203,271,0,1,1
29,68,848,203,270,0,0,0
30,90,822,203,258,0,0,0
31,77,813,203,259,0,1,1
32,96,799,203,263,0,1,1
33,86,800,203,257,0,1,1
34,83,780,203,269,0,0,0
35,101,798,203,267,0,1,1
36,77,791,203,257,0,0,0
37,55,802,203,256,0,0,0
38,98,809,203,249,0,1,1
39,74,805,203,258,0,0,0
40,76,776,203,252,0,1,1
41,79,777,203,264,0,1,1
42,79,844,203,260,0,1,1
43,57,811,203,262,0,0,0
44,81,815,203,263,0,1,1
45,75,801,203,262,0,0,0
46,92,824,203,272,0,0,0
47,87,805,203,260,0,0,0
48,85,796,203,267,0,0,0
49,138,750,203,256,0,0,0
50,90,756,203,256,0,0,0
51,91,785,203,241,0,0,0
52,96,781,203,258,0,1,1
53,88,785,203,255,0,0,0
54,100,797,203,263,0,0,0
55,93,808,203,255,0,1,1
56,87,822,203,265,0,0,0
57,90,828,203,254,0,0,0
58,84,800,203,260,0,0,0
59,80,803,203,272,0,0,0
60,78,810,203,255,0,0,0
61,70,765,203,264,0,0,0
62,80,720,203,255,0,1,1
63,80,733,203,258,0,0,0
64,79,768,203,249,0,0,0
65,51,783,203,255,0,0,0
66,103,730,203,257,0,1,1
67,75,715,203,245,0,1,1
