MVS0409.02L DateCode 11/25 SIGMA 100 Measurements per MVS #1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,69,857,203,259,0,1,1
2,34,875,203,258,0,1,1
3,52,908,203,251,0,0,0
4,61,909,203,266,0,0,0
5,69,896,203,265,0,1,1
6,77,854,203,252,0,0,0
7,72,877,203,258,0,1,1
8,36,892,203,287,0,1,1
9,76,859,203,258,0,0,0
10,47,887,203,255,0,0,0
11,71,894,203,279,0,0,0
12,55,872,203,255,0,0,0
13,70,879,203,290,0,1,1
14,61,828,203,248,0,0,0
15,63,878,203,249,0,0,0
16,84,850,203,281,0,0,0
17,67,863,203,260,0,0,0
18,50,872,203,308,0,0,0
19,59,867,203,253,0,0,0
20,42,881,203,282,0,0,0
21,48,875,203,251,0,0,0
22,42,876,203,299,0,0,0
23,86,856,203,277,0,1,1
24,47,843,203,252,0,0,0
25,35,870,203,262,0,0,0
26,75,853,203,286,0,0,0
27,47,884,203,287,0,0,0
28,76,862,203,257,0,0,0
29,48,889,203,282,0,0,0
30,59,868,203,264,0,1,1
31,61,868,203,266,1,1,1
32,71,857,203,275,0,1,1
33,41,876,203,249,0,0,0
34,49,882,203,261,0,0,0
35,54,893,203,268,0,0,0
36,34,883,203,283,0,0,0
37,47,886,203,259,0,0,0
38,42,883,203,311,0,0,0
39,91,872,203,278,0,1,1
40,66,883,203,268,0,0,0
41,52,858,203,262,0,0,0
42,50,858,203,266,0,1,1
43,60,872,203,254,0,0,0
44,58,894,203,256,0,0,0
45,37,878,203,289,0,0,0
46,46,883,203,249,0,0,0
47,36,889,203,280,0,0,0
48,43,854,203,281,0,0,0
49,45,876,203,283,0,0,0
50,39,883,203,278,0,0,0
51,66,873,203,284,0,1,1
52,27,862,203,284,0,0,0
53,57,868,203,268,0,0,0
54,91,862,203,256,0,0,0
55,63,858,203,251,0,0,0
56,35,882,203,262,0,0,0
57,52,869,203,287,0,0,0
58,55,889,203,257,0,0,0
59,52,878,203,264,0,0,0
60,83,865,203,257,0,1,1
61,64,868,203,264,0,0,0
62,60,851,203,277,0,1,1
63,75,861,203,275,0,0,0
64,58,874,203,284,0,1,1
65,66,879,203,254,0,0,0
66,55,866,203,276,0,0,0
67,46,865,203,271,0,0,0
68,79,858,203,280,0,0,0
69,69,857,203,262,0,0,0
70,45,874,203,285,0,0,0
71,75,865,203,279,0,0,0
72,54,861,203,253,0,0,0
73,71,882,203,253,0,0,0
74,53,858,203,257,0,0,0
75,64,854,203,260,0,0,0
76,108,847,203,269,0,0,0
77,36,874,203,281,0,0,0
78,103,858,203,274,0,1,1
79,91,856,203,306,0,0,0
80,42,879,203,280,0,0,0
81,43,886,203,254,0,1,1
82,77,855,203,250,0,1,1
83,61,874,203,257,0,0,0
84,64,859,203,263,0,1,1
85,45,864,203,269,0,0,0
86,37,883,203,282,0,0,0
87,132,841,203,253,0,0,0
88,36,898,203,273,0,1,1
89,81,860,203,249,0,1,1
90,47,878,203,254,0,1,1
91,63,881,203,282,0,1,1
92,58,847,203,251,0,0,0
93,51,880,203,260,0,0,0
94,90,877,203,283,0,0,0
95,42,887,203,278,0,0,0
96,62,863,203,259,0,1,1
97,65,841,203,257,0,0,0
98,75,800,203,257,0,1,1
99,65,857,203,290,0,1,1
100,30,866,203,283,1,0,1
MVS0409.02L DateCode 11/25 SIGMA 100 Measurements per MVS #2
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,49,862,203,314,0,0,0
2,92,837,203,251,0,0,0
3,77,856,203,277,0,0,0
4,80,845,203,274,0,1,1
5,82,856,203,261,0,0,0
6,70,855,203,301,0,0,0
7,90,848,203,277,0,0,0
8,110,820,203,267,0,0,0
9,102,843,203,253,0,0,0
10,85,854,203,279,0,0,0
11,100,859,203,283,0,0,0
12,87,839,203,272,0,0,0
13,51,873,203,274,0,0,0
14,79,864,203,284,0,0,0
15,69,870,203,269,0,1,1
16,72,870,203,264,0,0,0
17,99,831,203,254,0,0,0
18,95,835,203,258,0,0,0
19,80,867,203,283,0,0,0
20,148,845,203,265,0,0,0
21,103,846,203,283,0,0,0
22,75,839,203,238,0,0,0
23,96,841,203,273,0,0,0
24,99,845,203,267,0,0,0
25,77,843,203,272,0,0,0
26,98,851,203,278,0,0,0
27,80,839,203,272,0,0,0
28,112,842,203,276,0,0,0
29,118,781,203,278,0,1,1
30,66,821,203,250,0,0,0
31,161,798,203,296,0,0,0
32,64,845,203,268,0,0,0
33,29,871,203,273,0,0,0
34,59,862,203,305,0,0,0
35,89,832,203,278,0,0,0
36,89,838,203,286,0,0,0
37,89,840,203,273,0,0,0
38,79,862,203,288,0,0,0
39,144,831,203,282,0,0,0
40,79,816,203,284,0,1,1
41,87,849,203,256,0,0,0
42,95,836,203,274,0,0,0
43,102,829,203,275,0,0,0
