MVS0409.02L SIGMA 10000 Measurements
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
89,25,905,203,293,0,0,0
90,25,830,203,268,0,0,0
91,30,732,203,274,0,0,0
92,27,782,203,286,0,0,0
93,26,820,203,280,0,0,0
94,21,753,203,303,0,0,0
95,15,811,203,294,0,0,0
96,27,785,203,294,0,0,0
97,29,835,203,291,0,0,0
98,28,804,203,278,0,0,0
99,37,701,203,277,0,0,0
100,30,833,203,287,0,0,0
101,21,825,203,292,0,0,0
102,30,883,203,263,0,0,0
103,21,754,203,300,0,0,0
104,18,819,203,305,0,0,0
105,26,752,203,284,0,0,0
106,18,795,203,296,0,0,0
107,33,779,203,280,0,0,0
108,18,856,203,304,0,0,0
109,0,1000,203,4,0,0,1
110,6,941,203,430,0,0,0
111,17,738,203,295,0,0,0
112,15,876,203,304,0,0,0
113,5,933,203,451,0,0,0
114,27,781,203,297,0,0,0
115,28,807,203,279,0,0,0
116,33,809,203,277,0,0,0
117,15,307,203,306,0,1,1
118,30,545,203,203,1,0,1
119,48,824,203,283,0,0,0
120,26,754,203,281,0,0,0
121,28,772,203,277,0,0,0
122,19,809,203,287,0,0,0
123,26,830,203,280,0,0,0
124,32,834,203,284,0,0,0
125,31,884,203,262,0,0,0
126,25,858,203,276,0,0,0
127,20,809,203,293,0,0,0
128,22,781,203,278,0,0,0
129,22,836,203,307,0,0,0
130,20,772,203,294,0,0,0
131,19,805,203,273,0,0,0
132,20,734,203,292,0,0,0
133,20,766,203,293,0,0,0
134,20,802,203,279,0,0,0
135,26,783,203,281,0,0,0
136,26,832,203,277,0,0,0
137,22,777,203,280,0,0,0
138,27,830,203,280,0,0,0
139,22,836,203,277,0,0,0
140,20,867,203,307,0,0,0
141,26,809,203,271,0,0,0
142,18,853,203,272,0,0,0
143,27,813,203,318,0,0,0
144,38,767,203,282,0,0,0
145,19,890,203,347,0,0,0
146,22,845,203,317,0,0,0
147,28,830,203,306,0,0,0
148,17,802,203,304,0,0,0
149,19,840,203,235,0,0,0
150,18,862,203,269,0,0,0
151,13,820,203,317,0,0,0
152,19,734,203,280,0,0,0
153,22,769,203,306,0,1,1
154,25,782,203,272,0,0,0
155,25,794,203,263,0,0,0
156,22,779,203,288,0,0,0
157,33,803,203,284,0,0,0
158,26,761,203,264,0,0,0
159,20,824,203,305,0,0,0
160,21,747,203,295,0,0,0
161,19,737,203,286,0,0,0
162,19,806,203,265,0,0,0
163,36,814,203,294,0,0,0
164,36,884,203,284,0,0,0
165,40,829,203,283,0,0,0
166,22,820,203,295,0,0,0
167,20,813,203,292,0,0,0
168,29,781,203,294,0,1,1
169,17,882,203,305,0,0,0
170,13,854,203,317,0,0,0
171,25,819,203,306,0,0,0
172,25,777,203,275,0,0,0
173,26,795,203,266,0,0,0
174,25,775,203,276,0,0,0
175,30,824,203,292,0,0,0
176,31,807,203,262,0,0,0
177,30,804,203,291,0,0,0
178,29,779,203,278,0,0,0
179,20,819,203,303,0,0,0
180,19,846,203,304,0,0,0
181,17,814,203,291,0,0,0
182,23,806,203,283,0,0,0
183,22,823,203,304,0,0,0
184,39,779,203,277,0,0,0
185,27,837,203,281,0,0,0
186,37,847,203,232,0,0,0
187,19,781,203,290,0,0,0
188,22,767,203,232,0,0,0
189,30,759,203,232,0,0,0
190,22,818,203,232,0,0,0
191,14,821,203,304,0,0,0
192,34,819,203,304,0,1,1
193,24,807,203,303,0,0,0
194,18,854,203,303,0,0,0
195,17,820,203,305,0,0,0
196,28,764,203,277,0,0,0
197,29,867,203,287,0,0,0
198,30,767,203,280,0,0,0
199,29,803,203,303,0,0,0
200,18,797,203,287,0,0,0
201,19,798,203,281,0,0,0
202,31,816,203,277,0,0,0
203,33,792,203,278,0,0,0
204,23,814,203,292,0,0,0
205,27,851,203,291,0,0,0
206,39,862,203,294,0,0,0
207,29,819,203,292,0,0,0
208,30,852,203,232,0,0,0
209,38,841,203,275,0,0,0
210,23,866,203,316,0,0,0
211,20,741,203,295,0,0,0
212,21,281,203,275,0,1,1
213,19,579,203,203,1,0,1
214,21,880,203,287,0,0,0
215,30,844,203,306,0,0,0
216,23,795,203,305,0,0,0
217,21,800,203,296,0,0,0
218,21,788,203,293,0,0,0
219,25,821,203,294,0,0,0
220,20,864,203,282,0,0,0
221,29,862,203,294,0,0,0
222,38,798,203,294,0,0,0
223,19,832,203,304,0,0,0
224,27,636,203,275,0,0,0
225,21,808,203,283,0,0,0
226,31,878,203,273,0,0,0
227,34,883,203,279,0,0,0
228,20,807,203,305,0,0,0
229,28,824,203,294,0,0,0
230,26,788,203,274,0,0,0
231,28,814,203,276,0,0,0
232,15,845,203,305,0,0,0
233,33,769,203,304,0,0,0
234,41,814,203,275,0,0,0
235,25,809,203,279,0,0,0
236,31,783,203,277,0,0,0
237,19,915,203,305,0,0,0
238,24,862,203,305,0,0,0
239,13,796,203,306,0,0,0
240,19,705,203,221,0,0,0
241,20,797,203,294,0,0,0
242,18,825,203,306,0,0,0
